piso_id,m2_edificados,m2_útiles,n_habitaciones,n_baños,planta,precio_alquiler,precio_zona,necesita_reforma,nueva_construcción,año_construción,ascensor,exterior,aparcamiento,precio_aparcamiento,orientación,precio
0,114.0,104.0,4,2,7,881.0,1658,1,0,1970.0,1,1,0,,este,189000
1,85.0,70.0,2,2,3,,6588,1,0,,1,1,0,,desconocido,560000
2,340.0,299.0,6,4,3,2516.0,2882,0,0,1989.0,1,1,1,0.0,este,980000
3,51.0,49.0,2,1,4,777.0,3118,0,0,1965.0,0,1,0,,sur,159000
4,210.0,,3,3,1,,8524,0,0,,1,1,0,,desconocido,1790000
5,84.0,,1,1,1,732.0,1750,0,0,,1,1,1,0.0,desconocido,147000
6,91.0,77.0,4,2,2,1416.0,4286,1,0,,1,1,0,,este,390000
7,144.0,,3,3,1,2315.0,5486,0,0,2001.0,1,1,0,,sur,790000
8,150.0,,4,3,4,2466.0,5913,0,0,1965.0,1,1,0,,este,887000
9,110.0,95.0,3,2,1,,2318,0,0,1990.0,1,1,1,0.0,sur,255000
10,104.0,,3,2,7,1678.0,4856,0,0,1995.0,1,1,1,0.0,este,505000
11,104.0,,2,2,6,1545.0,4293,0,0,1992.0,1,1,0,,desconocido,446500
12,297.0,223.0,5,5,3,452.0,4545,1,0,1969.0,1,1,1,0.0,este,1350000
13,63.0,,3,1,1,705.0,2222,0,0,1969.0,1,1,0,,sur,140000
14,72.0,,2,1,-1,,4028,0,0,,0,1,0,,sur,290000
15,111.0,,3,3,2,,5676,0,0,1950.0,1,1,0,,desconocido,630000
16,65.0,,3,1,2,621.0,1831,0,0,,0,1,0,,desconocido,119000
17,121.0,100.0,3,2,4,1894.0,4950,0,0,2004.0,1,1,1,0.0,este,599000
18,70.0,,3,1,2,,4429,1,0,,1,1,0,,este,310000
19,110.0,,4,1,2,,1809,0,0,,1,1,0,,desconocido,199000
20,130.0,,4,3,1,1200.0,2308,0,0,,0,1,0,,desconocido,300000
21,96.0,86.0,3,1,1,1391.0,3948,0,0,,1,1,0,,sur,379000
22,56.0,,3,1,1,561.0,1875,0,0,1967.0,1,1,0,,desconocido,105000
23,214.0,,3,3,-1,,5958,0,0,2020.0,1,1,1,0.0,sur,1275000
24,93.0,80.0,3,2,3,1311.0,3710,0,0,1994.0,1,1,1,0.0,este,345000
25,190.0,,4,2,-1,,4211,0,0,1959.0,1,0,0,,este,800000
26,193.0,,4,3,5,,4145,1,0,1954.0,1,1,1,0.0,este,800000
27,104.0,,3,2,6,1109.0,2551,0,1,,1,1,1,0.0,desconocido,265300
28,70.0,68.0,2,1,3,631.0,1736,1,0,,0,1,0,,este,121500
29,177.0,154.0,4,3,3,,5028,0,0,,1,1,0,,desconocido,890000
30,204.0,,5,3,2,,7304,1,0,1977.0,1,1,1,0.0,desconocido,1490000
31,135.0,,3,2,4,1553.0,3333,0,0,,1,1,0,,desconocido,450000
32,76.0,,3,1,6,,3671,0,0,1960.0,1,0,0,,este,279000
33,60.0,50.0,1,1,2,,3000,0,0,,1,1,0,,desconocido,180000
34,83.0,,2,2,2,,7530,0,0,,1,1,0,,desconocido,625000
35,140.0,125.0,4,2,6,1250.0,2286,0,0,,1,1,0,,sur,320000
36,97.0,,3,2,2,,3048,0,1,,1,1,0,,desconocido,295650
37,69.0,57.0,2,1,2,847.0,2594,0,0,,1,1,0,,sur,179000
38,150.0,141.0,2,2,1,,5933,0,0,,0,1,0,,oeste,890000
39,97.0,79.0,3,2,3,,2144,0,0,1965.0,0,1,0,,desconocido,208000
40,114.0,,2,2,6,1537.0,3886,0,1,,1,1,0,,desconocido,443000
41,174.0,155.0,2,2,1,1827.0,3276,0,0,1900.0,1,0,0,,desconocido,570000
42,110.0,,3,1,3,964.0,1955,0,0,,0,1,1,0.0,desconocido,215000
43,78.0,75.0,2,1,1,979.0,2821,0,0,2019.0,0,1,0,,sur,220000
44,209.0,205.0,4,2,2,,4737,1,0,1942.0,1,1,0,,este,990000
45,75.0,,3,1,2,690.0,1813,0,0,,0,1,0,,desconocido,136000
46,360.0,,6,5,5,,5972,0,0,,1,1,1,100000.0,sur,2150000
47,80.0,,2,2,5,1485.0,5250,0,0,1920.0,1,0,0,,sur,420000
48,73.0,,3,1,1,,3219,1,0,,1,1,0,,oeste,235000
49,144.0,110.0,4,3,1,1892.0,4153,1,0,,1,1,1,0.0,desconocido,598000
50,70.0,,3,1,1,666.0,1857,0,0,,0,1,0,,desconocido,130000
51,126.0,,3,2,1,1804.0,4444,0,0,,1,1,1,0.0,este,560000
52,242.0,200.0,3,3,1,1113.0,5351,0,0,1964.0,1,1,1,0.0,sur,1295000
53,74.0,,3,1,6,813.0,2284,0,0,,1,1,0,,este,169000
54,54.0,51.0,3,2,-1,1255.0,5963,0,0,1940.0,1,0,0,,sur,322000
55,204.0,,3,2,1,2512.0,4632,0,0,,1,0,1,0.0,este,945000
56,78.0,,3,1,-1,798.0,2115,0,0,,0,1,0,,desconocido,165000
57,209.0,177.0,5,3,5,2305.0,3756,0,0,1970.0,1,1,1,0.0,desconocido,785000
58,47.0,39.0,2,1,-1,650.0,2681,0,0,1957.0,1,1,0,,oeste,126000
59,35.0,32.0,2,1,-1,907.0,5629,0,0,,0,1,0,,sur,197000
60,63.0,,1,1,4,,2857,0,0,2008.0,1,1,0,,sur,180000
61,47.0,,1,1,4,964.0,4574,0,0,1900.0,0,0,0,,este,215000
62,106.0,,2,2,-1,,2590,0,1,,1,1,1,0.0,desconocido,274500
63,53.0,52.0,2,1,-1,762.0,2923,1,0,,1,1,1,0.0,desconocido,154900
64,252.0,,3,3,2,1536.0,4960,0,0,1880.0,1,1,0,,este,1250000
65,160.0,155.0,4,3,4,2480.0,5625,1,0,,1,1,0,,desconocido,900000
66,75.0,65.0,2,1,3,1346.0,4800,0,0,1960.0,1,1,0,,este,360000
67,485.0,,6,5,3,,6103,1,0,1975.0,1,1,1,0.0,sur,2960000
68,60.0,50.0,1,1,9,1275.0,5500,0,0,,1,1,0,,este,330000
69,110.0,,2,2,3,,5000,0,0,2019.0,1,1,1,0.0,este,550000
70,50.0,,1,1,-1,904.0,3920,0,0,1998.0,1,1,0,,oeste,196000
71,70.0,60.0,1,1,4,884.0,2714,0,0,,1,1,1,0.0,sur,190000
72,117.0,98.0,3,1,1,1200.0,2563,1,0,1971.0,1,1,0,,desconocido,299900
73,112.0,,3,2,2,,3080,1,0,,1,1,0,,norte,345000
74,40.0,,1,1,1,1161.0,7125,0,0,1900.0,0,0,0,,este,285000
75,65.0,59.0,2,1,3,592.0,1723,0,0,,0,1,0,,sur,112000
76,201.0,178.0,5,3,5,1536.0,6219,1,0,1964.0,1,1,1,0.0,oeste,1250000
77,164.0,,2,2,4,2421.0,6524,0,0,2018.0,1,1,0,,este,1070000
78,85.0,,3,1,4,1225.0,3647,0,0,,1,0,0,,desconocido,310000
79,82.0,73.0,3,2,2,1689.0,6220,1,0,1955.0,1,1,0,,oeste,510000
80,111.0,100.0,4,1,3,1873.0,5315,1,0,1939.0,1,1,0,,sur,590000
81,79.0,,3,1,4,816.0,2152,1,0,,1,1,0,,este,170000
82,219.0,182.0,4,3,6,,3607,0,0,1985.0,1,1,1,0.0,sur,790000
83,95.0,,2,2,1,1644.0,5158,0,1,,1,1,1,0.0,desconocido,490000
84,52.0,45.0,2,1,5,979.0,4231,1,0,,1,1,0,,sur,220000
85,82.0,,2,2,4,,2401,0,1,,1,1,1,0.0,desconocido,196872
86,327.0,,5,2,-1,,688,0,0,,1,1,0,,desconocido,225000
87,80.0,75.0,3,1,2,884.0,2375,0,0,,0,1,0,,norte,190000
88,134.0,,4,3,1,2012.0,4851,0,0,,1,1,1,0.0,norte,650000
89,50.0,,1,1,-1,1382.0,7500,0,1,,1,1,0,,desconocido,375000
90,67.0,,3,1,3,664.0,1931,0,0,1970.0,0,1,0,,desconocido,129400
91,94.0,,2,2,3,1019.0,2482,0,1,,1,1,1,0.0,desconocido,233297
92,100.0,,3,2,2,1148.0,2800,0,0,,1,1,1,0.0,desconocido,280000
93,86.0,60.0,2,2,2,,4477,0,0,2002.0,1,0,1,0.0,oeste,385000
94,53.0,,2,1,3,1038.0,4528,0,0,,0,1,0,,sur,240000
95,70.0,,3,1,2,1061.0,3543,0,0,,1,0,0,,desconocido,248000
96,92.0,80.0,1,1,3,1553.0,4891,1,0,,1,1,1,0.0,norte,450000
97,104.0,,3,2,2,954.0,2038,0,0,,0,1,0,,sur,212000
98,126.0,110.0,3,2,1,847.0,1421,0,0,,0,1,1,10.0,este,179000
99,80.0,,3,1,8,994.0,2812,0,0,1968.0,1,1,0,,este,225000
100,60.0,,3,1,2,,3083,1,0,,1,1,0,,sur,185000
101,129.0,,3,1,2,1966.0,4884,0,0,,0,1,0,,desconocido,630000
102,250.0,215.0,4,3,5,,5580,0,0,1967.0,1,1,1,0.0,sur,1395000
103,63.0,59.0,2,1,1,725.0,2302,0,0,1960.0,1,1,0,,desconocido,145000
104,261.0,,3,3,4,0.0,7433,0,0,,1,1,1,55000.0,desconocido,1940000
105,144.0,108.0,4,2,9,,8326,0,0,2005.0,1,1,1,0.0,este,1199000
106,50.0,48.0,2,1,1,964.0,4300,0,0,1940.0,0,0,0,,desconocido,215000
107,50.0,46.0,2,1,1,658.0,2560,0,0,1962.0,0,1,0,,este,128000
108,88.0,63.0,3,2,2,740.0,1693,1,0,1970.0,0,1,0,,desconocido,149000
109,98.0,76.0,3,2,4,901.0,1990,0,0,1989.0,1,1,0,,sur,195000
110,185.0,180.0,4,3,1,2190.0,3941,0,0,,1,1,1,0.0,sur,729000
111,135.0,120.0,3,3,1,2333.0,5926,0,0,,1,1,1,0.0,este,800000
112,81.0,,3,1,4,744.0,1852,0,0,,0,1,0,,este,150000
113,500.0,270.0,6,4,-1,,720,1,0,,0,1,0,,desconocido,360000
114,125.0,,3,2,1,1153.0,2256,0,0,,1,1,0,,desconocido,282000
115,178.0,,5,3,1,,3539,0,0,,1,1,0,,desconocido,630000
116,48.0,38.0,2,1,-1,305.0,1083,0,0,1950.0,0,0,0,,este,52000
117,98.0,,3,1,4,1009.0,2347,0,0,,1,1,1,0.0,desconocido,230000
118,130.0,,4,2,3,2103.0,5308,0,0,,1,1,1,0.0,norte,690000
119,121.0,,3,2,1,1781.0,4545,0,0,2004.0,1,1,1,0.0,oeste,550000
120,70.0,,3,1,1,1187.0,4214,0,0,,1,1,1,25000.0,desconocido,295000
121,145.0,,3,3,5,0.0,10690,0,0,2009.0,1,1,1,0.0,este,1550000
122,90.0,80.0,3,1,2,1519.0,4833,0,0,1967.0,1,1,0,,este,435000
123,66.0,,2,1,1,979.0,3333,0,0,,0,1,1,0.0,sur,220000
124,65.0,,1,1,1,1197.0,4600,0,0,1975.0,0,1,0,,norte,299000
125,126.0,71.0,2,2,5,2439.0,6865,0,1,,1,1,0,,desconocido,865000
126,152.0,,3,2,2,,3355,0,0,,1,1,1,0.0,este,510000
127,184.0,,5,5,1,2510.0,5429,0,0,1900.0,0,1,0,,este,999000
128,62.0,58.0,3,1,3,579.0,1758,0,0,1965.0,0,1,0,,este,109000
129,93.0,83.0,3,1,6,1140.0,2978,0,0,1972.0,1,1,0,,este,277000
130,60.0,,3,1,8,901.0,3250,0,0,,1,1,0,,este,195000
131,98.0,80.0,2,2,4,1086.0,2622,0,0,2003.0,1,1,1,0.0,sur,257000
132,80.0,76.0,3,1,3,,2262,0,0,1962.0,1,1,0,,este,181000
133,100.0,,3,2,6,1530.0,4400,1,0,1948.0,1,0,0,,sur,440000
134,35.0,,1,1,3,,5429,0,0,,0,0,0,,sur,190000
135,72.0,63.0,2,2,-1,1008.0,3188,0,0,2010.0,1,1,0,,oeste,229560
136,80.0,,3,1,3,,2091,0,0,,0,1,0,,desconocido,167260
137,122.0,108.0,3,2,1,1598.0,3852,0,0,1973.0,1,1,0,,este,470000
138,116.0,82.0,2,2,4,1885.0,5129,0,0,,1,1,0,,sur,595000
139,50.0,37.0,1,1,1,1275.0,6600,0,0,2006.0,1,1,1,0.0,sur,330000
140,73.0,,2,1,1,1416.0,5342,0,0,2007.0,1,1,1,0.0,este,390000
141,177.0,,4,3,1,2379.0,4667,0,1,,1,1,0,,desconocido,826000
142,64.0,,1,1,2,1187.0,4609,0,0,1994.0,1,1,1,40000.0,este,295000
143,40.0,38.0,1,1,-1,686.0,3375,0,0,,1,1,0,,desconocido,135000
144,113.0,,3,2,8,1148.0,2477,0,1,,1,1,1,0.0,desconocido,279854
145,106.0,,2,2,5,1174.0,2736,0,0,2007.0,1,1,1,0.0,desconocido,290000
146,115.0,,3,2,-1,1966.0,5478,0,0,2005.0,1,1,1,0.0,oeste,630000
147,91.0,,3,1,4,1320.0,3835,1,0,,1,1,0,,sur,349000
148,173.0,145.0,4,2,1,2012.0,3757,1,0,,1,1,1,0.0,desconocido,650000
149,149.0,,3,2,1,1781.0,3691,0,0,1890.0,0,1,0,,este,550000
150,149.0,,4,2,8,1966.0,4228,0,0,2001.0,1,1,1,0.0,desconocido,630000
151,120.0,89.0,2,2,-1,,4658,0,0,2002.0,1,1,0,,oeste,559000
152,90.0,85.0,3,1,2,884.0,2111,0,0,,0,1,1,20.0,este,190000
153,115.0,103.0,3,1,6,1368.0,3209,0,0,1940.0,1,1,0,,desconocido,369000
154,130.0,110.0,5,3,1,1850.0,4462,0,0,1900.0,1,1,0,,este,580000
155,83.0,58.0,2,2,4,1127.0,3277,0,0,2008.0,1,1,1,0.0,sur,272000
156,54.0,,3,1,3,503.0,1703,0,0,1964.0,0,1,0,,desconocido,91957
157,512.0,425.0,6,5,4,0.0,6445,0,0,1959.0,1,1,1,0.0,este,3300000
158,62.0,52.0,2,1,-1,636.0,1976,0,0,1978.0,0,1,0,,desconocido,122500
159,100.0,,4,2,3,1576.0,4600,0,0,,1,1,0,,este,460000
160,60.0,,2,1,3,798.0,2750,0,0,1974.0,0,1,0,,desconocido,165000
161,52.0,45.0,1,1,1,833.0,3365,0,0,,1,1,1,0.0,este,175000
162,154.0,,5,5,1,2510.0,6487,0,0,,1,1,0,,desconocido,999000
163,90.0,,3,1,3,1161.0,3167,1,0,,1,1,0,,sur,285000
164,130.0,115.0,2,2,1,1428.0,3038,0,0,,1,1,1,0.0,sur,395000
165,261.0,230.0,4,2,4,2165.0,4406,0,0,1890.0,1,1,0,,norte,1150000
166,59.0,,3,1,4,714.0,2410,0,0,,0,1,0,,desconocido,142200
167,64.0,58.0,2,1,4,917.0,3125,0,0,,0,0,0,,sur,200000
168,90.0,85.0,3,2,5,1197.0,3322,0,0,1968.0,1,1,0,,este,299000
169,103.0,79.0,3,2,3,1025.0,2285,0,1,,1,1,0,,desconocido,235402
170,65.0,,2,1,-1,833.0,2692,0,0,,0,1,0,,desconocido,175000
171,134.0,,3,2,2,1920.0,4554,0,1,,1,1,0,,desconocido,610212
172,54.0,,1,1,1,851.0,3333,0,0,,1,1,0,,sur,180000
173,272.0,,5,5,1,0.0,7022,0,0,,1,1,0,,sur,1910000
174,131.0,101.0,4,2,1,1724.0,4008,1,0,1890.0,0,1,0,,sur,525000
175,81.0,77.0,3,1,2,604.0,1420,0,0,1958.0,0,1,0,,desconocido,115000
176,80.0,,3,1,3,933.0,2562,0,0,1970.0,1,1,0,,desconocido,205000
177,101.0,91.0,3,2,2,,2871,0,0,1997.0,1,1,0,,desconocido,290000
178,102.0,,3,2,3,1038.0,2353,0,0,,1,1,0,,desconocido,240000
179,65.0,,3,1,2,773.0,2431,1,0,,0,1,0,,sur,158000
180,244.0,,4,3,5,0.0,6066,0,0,,1,1,1,0.0,sur,1480000
181,290.0,250.0,5,3,2,2509.0,3448,1,0,1955.0,1,1,0,,desconocido,1000000
182,201.0,,5,3,4,,4279,1,0,,1,1,1,150.0,desconocido,860000
183,73.0,,3,1,2,702.0,1904,1,0,1970.0,0,1,0,,sur,139000
184,81.0,66.0,2,2,1,1758.0,6667,0,0,,1,1,0,,este,540000
185,84.0,79.0,4,1,1,728.0,1738,1,0,1958.0,0,1,0,,este,146000
186,130.0,,3,2,7,1978.0,4885,0,0,,1,1,0,,sur,635000
